,neighborhood,latitude,longitude,"Cafes, Snack bars, Sweets",Hotels,Italian Restaurant,Japanese Restaurant,Mall and Galleries,Professional Services,Retail,Various Restaurants,Vegan and Vegetarian Restaurant,cluster
0,Botafogo,-22.94886035,-43.18011371065211,66,88,35,36,3,83,107,82,10,4
1,Catete,-22.9269199,-43.1802186,18,27,1,6,0,13,47,13,2,0
2,Centro,-22.9043934,-43.1830653,85,58,65,55,5,85,76,67,28,2
3,Copacabana,-22.971974,-43.1842997,47,74,27,32,8,61,69,56,10,1
4,Cosme Velho,-22.9415143,-43.2006244,7,28,0,1,0,23,25,19,0,0
5,Flamengo,-22.9339841,-43.1745744,21,45,6,9,2,36,24,30,2,3
6,Gávea,-22.9814243,-43.2383245,20,15,6,20,1,43,58,53,3,3
7,Glória,-22.9183225,-43.1739232,9,23,0,2,0,4,10,7,1,0
8,Humaitá,-22.9546413,-43.2004797,10,8,3,4,1,22,30,15,1,0
9,Ipanema,-22.9839557,-43.2022163,34,44,28,28,4,44,42,40,14,1
10,Jardim Botânico,-22.96838455,-43.2286944,9,7,1,3,0,23,13,23,4,0
11,Lagoa,-22.9624658,-43.2024884,0,3,1,2,0,12,14,13,1,0
12,Laranjeiras,-22.9343173,-43.1878165,23,34,7,12,7,41,45,53,4,3
13,Leblon,-22.983556,-43.2249377,37,49,26,28,8,42,49,38,7,1
14,Leme,-22.961704,-43.1669042,10,49,5,3,0,17,17,31,2,0
15,São Conrado,-22.9913592,-43.2675329,1,8,2,2,1,50,53,37,0,3
16,Urca,-22.954074,-43.1679727,7,4,0,2,0,12,11,20,0,0
