,neighborhood,latitude,longitude,name,categories
0,Botafogo,-22953341,-43186139,RefeitÃ³rio OrgÃ¢nico,Vegan and Vegetarian Restaurant
1,Botafogo,-22956535,-43192739,Vegana ChÃ¡cara,Vegan and Vegetarian Restaurant
2,Botafogo,-22956195,-43192417,Naturalie BistrÃ´,Vegan and Vegetarian Restaurant
3,Leme,-22962374,-43168412,Gaia Art & CafÃ©,Vegan and Vegetarian Restaurant
4,Botafogo,-2295502,-43195212,Vegan Vegan,Vegan and Vegetarian Restaurant
5,Laranjeiras,-22931727,-43180793,GrÃ£o Integral,Vegan and Vegetarian Restaurant
6,Humaitá,-22955517,-43196918,Rio Vegetariano,Vegan and Vegetarian Restaurant
7,Leme,-22957603,-43176015,Verde Vida,Vegan and Vegetarian Restaurant
8,Botafogo,-22952801,-43183752,Be Vegan,Vegan and Vegetarian Restaurant
9,Flamengo,-22934246,-43177403,Panela de Barro,Vegan and Vegetarian Restaurant
10,Botafogo,-22942039,-43181039,CasarÃ£o 22,Vegan and Vegetarian Restaurant
11,Botafogo,-2295779,-43176145,Greenpeople,Vegan and Vegetarian Restaurant
12,Catete,-22931736,-43179099,SÃ³ Sabor,Vegan and Vegetarian Restaurant
13,Laranjeiras,-22932791,-43182637,Vegetariano Social Clube,Vegan and Vegetarian Restaurant
14,Laranjeiras,-22932071,-43180319,Vida Gourmet,Vegan and Vegetarian Restaurant
15,Botafogo,-22945359,-43182498,Gui Green,Vegan and Vegetarian Restaurant
16,Botafogo,-22948693,-43185965,Frigideira & Cia,Vegan and Vegetarian Restaurant
17,Botafogo,-22955117,-43195152,Vegan Vegan - Botafogo,Vegan and Vegetarian Restaurant
18,Glória,-2291935,-43178177,GrÃ©gora Arte CafÃ©,Vegan and Vegetarian Restaurant
19,Centro,-22911072,-43174843,DelÃ­rio Tropical,Vegan and Vegetarian Restaurant
20,Centro,-22913983,-43167008,Hareburger,Vegan and Vegetarian Restaurant
21,Centro,-22914528,-43183833,Las Vegans,Vegan and Vegetarian Restaurant
22,Catete,-22927989,-43176743,Mundo Verde Catete,Vegan and Vegetarian Restaurant
23,Centro,-22911235,-43175976,Restaurante AssociaÃ§Ã£o MacrobiÃ³tica / Restaurante MacrobiÃ³tico,Vegan and Vegetarian Restaurant
24,Flamengo,-22928362,-43177262,Natural Up,Vegan and Vegetarian Restaurant
25,Centro,-22909572,-43178006,Health's Restaurante,Vegan and Vegetarian Restaurant
26,Copacabana,-22976921,-43189713,Bio Carioca,Vegan and Vegetarian Restaurant
27,Copacabana,-22976624,-43189915,RefeitÃ³rio OrgÃ¢nico,Vegan and Vegetarian Restaurant
28,Copacabana,-22987143,-43190835,Brota,Vegan and Vegetarian Restaurant
29,Copacabana,-22976376,-43190013,Mundo Vegan,Vegan and Vegetarian Restaurant
30,Copacabana,-22982008,-43190315,Bardana Cozinha Natural,Vegan and Vegetarian Restaurant
31,Copacabana,-22983785,-43194958,Feira Vida Liberta,Vegan and Vegetarian Restaurant
32,Copacabana,-22984628,-431941,Flora Viva Natural,Vegan and Vegetarian Restaurant
33,Copacabana,-22986882,-43192629,Hareburger,Vegan and Vegetarian Restaurant
34,Copacabana,-2297805,-43191434,Restaurante Naturaleve,Vegan and Vegetarian Restaurant
35,Ipanema,-22987137,-43191086,Hare Burger,Vegan and Vegetarian Restaurant
36,Laranjeiras,-22936991,-43198734,Via Verde,Vegan and Vegetarian Restaurant
37,Leblon,-22985845,-43227379,Casa Graviola,Vegan and Vegetarian Restaurant
38,Gávea,-22976445,-4322891,GÃ¡vea Integral,Vegan and Vegetarian Restaurant
39,Leblon,-22985765,-43227936,Seeds,Vegan and Vegetarian Restaurant
40,Leblon,-22985863,-43229261,Lulu's,Vegan and Vegetarian Restaurant
41,Gávea,-22976637,-4322879,GÃ¡vea Integral,Vegan and Vegetarian Restaurant
42,Leblon,-229854,-43226176,Mania Integral,Vegan and Vegetarian Restaurant
43,Leblon,-22981956,-43224714,Bio ArmazÃ©m,Vegan and Vegetarian Restaurant
44,Gávea,-22972727,-43224367,Restaurante OrgÃ¢nico,Vegan and Vegetarian Restaurant
45,Centro,-22909276,-43171852,Metamorfose,Vegan and Vegetarian Restaurant
46,Centro,-22906025,-4317673,Veggie Govinda,Vegan and Vegetarian Restaurant
