Column1;neighborhood;latitude;longitude;name;categories
0;Botafogo;-22.953341;-43.186139;RefeitÃƒÂ³rio OrgÃƒÂ¢nico;Vegan and Vegetarian Restaurant
1;Botafogo;-22.956535;-43.192739;Vegana ChÃƒÂ¡cara;Vegan and Vegetarian Restaurant
2;Botafogo;-22.956195;-43.192417;Naturalie BistrÃƒÂ´;Vegan and Vegetarian Restaurant
3;Leme;-22.962374;-43.168412;Gaia Art & CafÃƒÂ©;Vegan and Vegetarian Restaurant
4;Botafogo;-22.95502;-43.195212;Vegan Vegan;Vegan and Vegetarian Restaurant
5;Laranjeiras;-22.931727;-43.180793;GrÃƒÂ£o Integral;Vegan and Vegetarian Restaurant
6;HumaitÃ¡;-22.955517;-43.196918;Rio Vegetariano;Vegan and Vegetarian Restaurant
7;Leme;-22.957603;-43.176015;Verde Vida;Vegan and Vegetarian Restaurant
8;Botafogo;-22.952801;-43.183752;Be Vegan;Vegan and Vegetarian Restaurant
9;Flamengo;-22.934246;-43.177403;Panela de Barro;Vegan and Vegetarian Restaurant
10;Botafogo;-22.942039;-43.181039;CasarÃƒÂ£o 22;Vegan and Vegetarian Restaurant
11;Botafogo;-22.95779;-43.176145;Greenpeople;Vegan and Vegetarian Restaurant
12;Catete;-22.931736;-43.179099;SÃƒÂ³ Sabor;Vegan and Vegetarian Restaurant
13;Laranjeiras;-22.932791;-43.182637;Vegetariano Social Clube;Vegan and Vegetarian Restaurant
14;Laranjeiras;-22.932071;-43.180319;Vida Gourmet;Vegan and Vegetarian Restaurant
15;Botafogo;-22.945359;-43.182498;Gui Green;Vegan and Vegetarian Restaurant
16;Botafogo;-22.948693;-43.185965;Frigideira & Cia;Vegan and Vegetarian Restaurant
17;Botafogo;-22.955117;-43.195152;Vegan Vegan - Botafogo;Vegan and Vegetarian Restaurant
18;GlÃ³ria;-22.91935;-43.178177;GrÃƒÂ©gora Arte CafÃƒÂ©;Vegan and Vegetarian Restaurant
19;Centro;-22.911072;-43.174843;DelÃƒÂ­rio Tropical;Vegan and Vegetarian Restaurant
20;Centro;-22.913983;-43.167008;Hareburger;Vegan and Vegetarian Restaurant
21;Centro;-22.914528;-43.183833;Las Vegans;Vegan and Vegetarian Restaurant
22;Catete;-22.927989;-43.176743;Mundo Verde Catete;Vegan and Vegetarian Restaurant
23;Centro;-22.911235;-43.175976;Restaurante AssociaÃƒÂ§ÃƒÂ£o MacrobiÃƒÂ³tica / Restaurante MacrobiÃƒÂ³tico;Vegan and Vegetarian Restaurant
24;Flamengo;-22.928362;-43.177262;Natural Up;Vegan and Vegetarian Restaurant
25;Centro;-22.909572;-43.178006;Health's Restaurante;Vegan and Vegetarian Restaurant
26;Copacabana;-22.976921;-43.189713;Bio Carioca;Vegan and Vegetarian Restaurant
27;Copacabana;-22.976624;-43.189915;RefeitÃƒÂ³rio OrgÃƒÂ¢nico;Vegan and Vegetarian Restaurant
28;Copacabana;-22.987143;-43.190835;Brota;Vegan and Vegetarian Restaurant
29;Copacabana;-22.976376;-43.190013;Mundo Vegan;Vegan and Vegetarian Restaurant
30;Copacabana;-22.982008;-43.190315;Bardana Cozinha Natural;Vegan and Vegetarian Restaurant
31;Copacabana;-22.983785;-43.194958;Feira Vida Liberta;Vegan and Vegetarian Restaurant
32;Copacabana;-22.984628;-43.1941;Flora Viva Natural;Vegan and Vegetarian Restaurant
33;Copacabana;-22.986882;-43.192629;Hareburger;Vegan and Vegetarian Restaurant
34;Copacabana;-22.97805;-43.191434;Restaurante Naturaleve;Vegan and Vegetarian Restaurant
35;Ipanema;-22.987137;-43.191086;Hare Burger;Vegan and Vegetarian Restaurant
36;Laranjeiras;-22.936991;-43.198734;Via Verde;Vegan and Vegetarian Restaurant
37;Leblon;-22.985845;-43.227379;Casa Graviola;Vegan and Vegetarian Restaurant
38;GÃ¡vea;-22.976445;-43.22891;GÃƒÂ¡vea Integral;Vegan and Vegetarian Restaurant
39;Leblon;-22.985765;-43.227936;Seeds;Vegan and Vegetarian Restaurant
40;Leblon;-22.985863;-43.229261;Lulu's;Vegan and Vegetarian Restaurant
41;GÃ¡vea;-22.976637;-43.22879;GÃƒÂ¡vea Integral;Vegan and Vegetarian Restaurant
42;Leblon;-22.9854;-43.226176;Mania Integral;Vegan and Vegetarian Restaurant
43;Leblon;-22.981956;-43.224714;Bio ArmazÃƒÂ©m;Vegan and Vegetarian Restaurant
44;GÃ¡vea;-22.972727;-43.224367;Restaurante OrgÃƒÂ¢nico;Vegan and Vegetarian Restaurant
45;Centro;-22.909276;-43.171852;Metamorfose;Vegan and Vegetarian Restaurant
46;Centro;-22.906025;-43.17673;Veggie Govinda;Vegan and Vegetarian Restaurant
47;Centro;-22.909246;-43.171789;Restaurante Bardana's;Vegan and Vegetarian Restaurant
48;Centro;-22.902022;-43.177262;Verde VÃƒÂ­cio;Vegan and Vegetarian Restaurant
49;Centro;-22.908761;-43.177485;Cheio de Vida;Vegan and Vegetarian Restaurant
50;Centro;-22.902474;-43.175579;Tempeh;Vegan and Vegetarian Restaurant
51;Centro;-22.904768;-43.176324;Sabor SaÃƒÂºde;Vegan and Vegetarian Restaurant
52;Centro;-22.902887;-43.178161;Brasil Vegetariano;Vegan and Vegetarian Restaurant
53;Centro;-22.90619;-43.184324;Reino Vegetal;Vegan and Vegetarian Restaurant
54;Centro;-22.903481;-43.175854;Green Restaurante Vegetariano;Vegan and Vegetarian Restaurant
55;Centro;-22.901932;-43.177072;Verdano Fresh Food;Vegan and Vegetarian Restaurant
56;Centro;-22.906877;-43.176813;Farani Fresh Food;Vegan and Vegetarian Restaurant
57;Centro;-22.904045;-43.177436;Alekrim;Vegan and Vegetarian Restaurant
58;Centro;-22.902185;-43.177078;Balanceado;Vegan and Vegetarian Restaurant
59;Centro;-22.902806;-43.180229;Trevo Vegetariano BistrÃƒÂ´;Vegan and Vegetarian Restaurant
60;Centro;-22.902453;-43.180259;Vitali Handmade;Vegan and Vegetarian Restaurant
61;Centro;-22.905042;-43.178087;Sallute Saladas;Vegan and Vegetarian Restaurant
62;Centro;-22.901766;-43.177381;Restaurante Vegetariano Beterraba;Vegan and Vegetarian Restaurant
63;Lagoa;-22.962546;-43.211075;Mistura Fina;Vegan and Vegetarian Restaurant
64;Ipanema;-22.985533;-43.203783;Spazziano;Vegan and Vegetarian Restaurant
65;Ipanema;-22.983435;-43.213331;Teva;Vegan and Vegetarian Restaurant
66;Ipanema;-22.983944;-43.213218;Fontes;Vegan and Vegetarian Restaurant
67;Ipanema;-22.983964;-43.207196;EmpÃƒÂ³rio SaÃƒÂºde;Vegan and Vegetarian Restaurant
68;Ipanema;-22.984281;-43.213665;Hareburger;Vegan and Vegetarian Restaurant
69;Ipanema;-22.986133;-43.19859;Beefit;Vegan and Vegetarian Restaurant
70;Ipanema;-22.984091;-43.204564;Cria da Terra;Vegan and Vegetarian Restaurant
